,Address,Lat,Lng,Name,Avgscore
71,"351 Grove StJersey City, NJ 07302",40.720857,-74.043,Mathews Food & Drink,9.0
72,"187 Sackett StBrooklyn, NY 11231",40.684546000000005,-74.0001,Take Root,9.0
73,"66 E 55th StNew York, NY 10022",40.760331,-73.9726,The Core Club,9.0
74,"213 W 40th StNew York, NY 10018",40.755207,-73.98864499999999,Hale and Hearty,7.0
75,"414 Court StNew York, NY 11231",40.679941,-73.997,First Place Provisions,6.0
76,"50 Central Park SouthNew York, NY 10019",40.765386,-73.976074,Auden Bistro & Bar,8.0
77,"1167 2nd AveNew York, NY 10065",40.762265,-73.9635,Fresh,8.0
78,"37 E 64th StNew York, NY 10065",40.766636,-73.968384,Arabelle,6.0
79,"10 Lincoln Center PlzNew York, NY 10023",40.772560999999996,-73.983238,Lincoln Center Kitchen,5.0
80,"42 W 48th StNew York, NY 10036",40.7579,-73.9801,Forty2west,6.0
81,"1000 5th AveManhattan, NY 10028",40.779165,-73.9629,Trustee's Dining Room,8.0
82,"5310 Park AveWest New York, NJ 07093",40.781886,-74.012509,The Spot Mix Grill,10.0
83,"303 Park Ave SNew York, NY 10010",40.740321,-73.985883,Reviver,7.0
84,"53-61 Gansevoort StNew York, NY 10014",40.739399,-74.007251,Malt n Mash,6.0
85,"Manhattan Cruise PortNew York, NY 11371",40.767472999999995,-74.0008,Norwegian Jewel,6.0
86,"123 Nassau StNew York, NY 10038",40.711144,-74.0066,Fowler & Wells,8.0
87,"101 7th Ave, Fl 3New York, NY 10036",40.739990999999996,-73.998409,Freds Downtown,7.0
88,"348 Wythe AveBrooklyn, NY 11249",40.714127000000005,-73.9653,Sunday in Brooklyn,10.0
89,"36 Central Park SNew York, NY 10019",40.765299,-73.9751,The Park Room,7.0
90,"81 Central Park WNew York, NY 10023",40.773685,-73.977845,Public Fare,4.0
91,"52 William StNew York, NY 10005",40.706708,-74.0089,William's Restaurant and Bar,6.0
92,"310 W BroadwayManhattan, NY 10013",40.722053,-74.00449,Club Room,7.0
93,"557 Lexington AvNew York, NY 10022",40.755241,-73.973926,National Restaurant,5.0
94,"5-11 University PlNew York, NY 10301",40.731843,-73.9945,Weinstein Passport Dining Hall,4.0
95,"2 W 58th StNew York, NY 10019",40.763642,-73.9738,Good Dish,10.0
96,"145 E 48th StNew York, NY 10017",40.755123,-73.9724,Ramani Bistro,9.0
97,"653 Eleventh Ave.Manhattan, NY 10036",40.764542999999996,-73.9959,Press,4.0
98,"42 E 20th StNew York, NY 10003",40.738527000000005,-73.988417,Gramercy Tavern,9.0
99,"8 Extra PlNew York, NY 10003",40.725033,-73.991352,Momofuku Ko,9.0
100,"135 W 42nd StNew York, NY 10036",40.755587,-73.985253,Aureole,8.0
101,"135 W 42nd StNew York, NY 10036",40.755587,-73.985253,Aureole,8.0
102,"641 HudsonNew York, NY 10014",40.739028000000005,-74.00578900000001,G_nter Seeger NY,9.0
103,"430 Hudson StNew York, NY 10014",40.730615,-74.006601,Piora,8.0
104,"21 W 52nd StNew York, NY 10019",40.760452,-73.977439,Upstairs at 21,9.0
105,"261 Moore StBrooklyn, NY 11206",40.70507,-73.933581,Blanca,8.0
106,"200 Schermerhorn StBrooklyn, NY 11201",40.688501,-73.9853,Chef's Table at Brooklyn Fare,9.0
107,"200 Schermerhorn StBrooklyn, NY 11201",40.688501,-73.9853,Chef's Table at Brooklyn Fare,9.0
108,"43 E 19th StNew York, NY 10003",40.738183,-73.988648,Craft,8.0
109,"261 Moore StBrooklyn, NY 11206",40.70507,-73.933581,Blanca,8.0
110,"5 E 54th StNew York, NY 10022",40.760778,-73.974717,Charlie Palmer Steak,8.0
111,"187 Sackett StBrooklyn, NY 11231",40.684546000000005,-74.000138,Take Root,9.0
112,"768 5th AveNew York, NY 10019",40.764227000000005,-73.974215,The Palm Court,7.0
113,"1000 5th AveManhattan, NY 10028",40.779165,-73.96292700000001,Trustee's Dining Room,8.0
114,"17 Barrow StNew York, NY 10014",40.732592,-74.002797,One If By Land Two If By Sea,8.0
115,"145 E 48th StNew York, NY 10017",40.755123,-73.972404,Ramani Bistro,9.0
116,"36 Central Park SNew York, NY 10019",40.765299,-73.975178,The Park Room,7.0
117,"Manhattan Cruise PortNew York, NY 11371",40.767472999999995,-74.000862,Norwegian Jewel,6.0
118,"414 Court StNew York, NY 11231",40.679941,-73.997088,First Place Provisions,6.0
119,"Two West StreetNew York, NY 10004",40.705549,-74.01733399999999,2West,7.0
120,"653 Eleventh Ave.Manhattan, NY 10036",40.764542999999996,-73.995985,Press,4.0
121,"5-11 University PlNew York, NY 10301",40.731843,-73.994501,Weinstein Passport Dining Hall,4.0
122,"Two West StreetNew York, NY 10004",40.705549,-74.01733399999999,2West,7.0
123,"52 William StNew York, NY 10005",40.706708,-74.008923,William's Restaurant and Bar,6.0
124,"359 Columbus AveNew York, NY 10024",40.780509,-73.976525,Isabella's,7.0
125,"252 W 47th StNew York, NY 10036",40.759833,-73.986698,Glass House Tavern,7.0
126,"408 W 15th StNew York, NY 10011",40.741777,-74.00579499999999,The Monarch Room,6.0
127,"307 E 53rd StNew York, NY 10022",40.756755,-73.966415,Privilege New York,8.0
128,"75 Washington PlNew York, NY 10011",40.732064,-73.9996,Blue Hill,9.0
129,"75 Washington PlNew York, NY 10011",40.732064,-73.99969300000001,Blue Hill,9.0
130,"71 Clinton StNew York, NY 10002",40.719256,-73.9851,The Whales,9.0
131,"12 E 12th StNew York, NY 10003",40.734186,-73.9936,Gotham Bar and Grill,9.0
132,"152 W 52nd StNew York, NY 10019",40.761776,-73.9817,Bar Americain,7.0
133,"316 BoweryNew York, NY 10012",40.725178,-73.9925,Saxon + Parole,8.0
134,"375 Greenwich StNew York, NY 10013",40.719607,-74.0098,Tribeca Grill,7.0
135,"127 Atlantic AveBrooklyn, NY 11201",40.690878000000005,-73.995826,Colonie,8.0
136,"141 W 10th StNew York, NY 10014",40.734752,-74.0009,Bell Book & Candle,8.0
137,"141 BroadwayBrooklyn, NY 11211",40.710506,-73.9633,OTB,8.0
138,"289 5th AveBrooklyn, NY 11215",40.673688,-73.9824,Gristmill,9.0
139,"151 W 54th StNew York, NY 10019",40.763506,-73.9806,The London Bar,5.0
140,"12 E 12th StNew York, NY 10003",40.734186,-73.993696,Gotham Bar and Grill,9.0
141,"41 W 57th StNew York, NY 10019",40.764196000000005,-73.976253,Betony,8.0
142,"126 W 18th StNew York, NY 10011",40.74022,-73.996266,Rouge Tomate Chelsea,9.0
143,"126 W 18th StNew York, NY 10011",40.74022,-73.996266,Rouge Tomate Chelsea,9.0
144,"151 W 54th StNew York, NY 10019",40.763506,-73.980636,The London Bar,5.0
145,"300 Spring StNew York, NY 10013",40.725719,-74.0079,Union Bar & Kitchen,9.0
146,"277 E 10th StNew York, NY 10009",40.728287,-73.9826,Brindle Room,8.0
147,"64 W 39th StNew York, NY 10018",40.752602,-73.985,Parker & Quinn,8.0
148,"211 W BroadwayNew York, NY 10013",40.718999,-74.0062,Distilled,8.0
149,"26 1st AveNew York, NY 10009",40.723690000000005,-73.9877,Spiegel,8.0
150,"127 E 27th StNew York, NY 10016",40.742255,-73.983448,Covina,9.0
151,"446 Columbus AveNew York, NY 10024",40.783609999999996,-73.974319,The Milling Room,8.0
152,"44 Henry StBrooklyn, NY 11201",40.699702,-73.9921,Henry's End Restaurant,8.0
153,"564 Dekalb AveBrooklyn, NY 11205",40.690811,-73.9539,Baron's,9.0
154,"133 E 65th StNew York, NY 10065",40.766234999999995,-73.9658,The East Pole,7.0
155,"52 Harrison PlEast Williamsburg, NY 11237",40.706194,-73.93134,Lantern Hall,9.0
156,"252 E 51st StNew York, NY 10022",40.755592,-73.968588,The Stag's Head,8.0
157,"30-09 21st StAstoria, NY 11102",40.769469,-73.92779200000001,The Barn,8.0
158,"10 India St.Brooklyn, NY 11222",40.731319,-73.96104100000001,The Water Table,8.0
159,"10 India St.Brooklyn, NY 11222",40.731319,-73.96104100000001,The Water Table,8.0
160,"55 3rd AveNew York, NY 10003",40.731066999999996,-73.988621,The Smith,7.0
161,"524 Court StBrooklyn, NY 11231",40.675919,-73.999,Buttermilk Channel,8.0
162,"1108 Cortelyou RdBrooklyn, NY 11218",40.6396,-73.967493,The Farm On Adderley,8.0
163,"54 E 1st StNew York, NY 10003",40.723909,-73.9893,Prune,8.0
164,"246 W 18th StNew York, NY 10011",40.741828000000005,-74.0,Westville Chelsea,8.0
165,"324 5th AveBrooklyn, NY 11215",40.672996999999995,-73.9833,Stone Park Cafe,8.0
166,"2 Columbus CirNew York, NY 10019",40.767394,-73.982033,Robert,8.0
167,"352 Bedford AveBrooklyn, NY 11211",40.712293,-73.962868,Rabbithole Restaurant,8.0
168,"787 Union StBrooklyn, NY 11215",40.675698,-73.9782,Rose Water Restaurant,8.0
169,"15 Irving PlNew York, NY 10003",40.734803,-73.9883,Ichabod's,8.0
170,"102 3rd AveNew York, NY 10003",40.732518,-73.9881,Feast,8.0
171,"47 E Houston StNew York, NY 10012",40.724759000000006,-73.9947,Estela,8.0
172,"847 Union StBrooklyn, NY 11215",40.674716,-73.9757,Kiwiana,8.0
173,"365 Van Brunt StBrooklyn, NY 11231",40.676617,-74.0135,Fort Defiance,8.0
174,"19 E 26th StNew York, NY 10010",40.743316,-73.98699,Black Barn,8.0
175,"132 4th AveNew York, NY 10003",40.733463,-73.9898,The Fourth,6.0
176,"900 BroadwayNew York, NY 10003",40.738848,-73.9895,Craftbar,7.0
177,"622 10th AveNew York, NY 10036",40.761019,-73.9942,44 & X Hell's Kitchen,7.0
178,"1414 Ave Of The AmericasNew York, NY 10019",40.764762,-73.976621,Jams,7.0
179,"1150 BroadwayNew York, NY 10010",40.744162,-73.9885,The Smith,7.0
180,"999 Manhattan AveGreenpoint, NY 11222",40.733203,-73.954966,Esme,9.0
181,"40 East 33rd StNew York, NY 10016",40.746463,-73.9826,Spoon Table & Bar,8.0
182,"1576 3rd AveNew York, NY 10128",40.780598,-73.953094,Two Door Tavern NYC,6.0
183,"257 Columbia StBrooklyn, NY 11231",40.683289,-74.0033,Handsome Drake's Food & Drink,9.0
184,"57 E 57th StNew York, NY 10022",40.762187,-73.97160600000001,The Garden,6.0
185,"450 E 29th StNew York, NY 10016",40.739373,-73.9734,Riverpark,8.0
186,"156 10th AveNew York, NY 10011",40.745519,-74.0054,Cookshop,8.0
187,"447 Hudson StNew York, NY 10014",40.73111,-74.0069,Hudson Clearwater,8.0
188,"99 Gansevoort StNew York, NY 10014",40.739609,-74.0088,Untitled at The Whitney,8.0
189,"687 6th AveBrooklyn, NY 11215",40.660596999999996,-73.9903,Lot 2,9.0
190,"407 W 42nd StNew York, NY 10036",40.758829999999996,-73.992806,West Bank Cafe,8.0
191,"206 Avenue ANew York, NY 10009",40.729434000000005,-73.9807,Dinnertable,9.0
192,"1055 Lexington AveNew York, NY 10021",40.772197999999996,-73.96064799999999,Eats,7.0
193,"508 Greenwich StNew York, NY 10013",40.725628,-74.009236,Houseman,8.0
194,"637 Hudson StNew York, NY 10014",40.738901,-74.0056,High Street on Hudson,8.0
195,"140 W 30th StNew York, NY 10001",40.747875,-73.991668,Till & Sprocket,8.0
196,"95 Greenwich AveNew York, NY 10014",40.737415999999996,-74.001749,Nourish Kitchen + Table,8.0
197,"202 Banker StBrooklyn, NY 11222",40.725072999999995,-73.95586999999999,The Halcyon Gourmet,9.0
198,"82 Sixth AveBrooklyn, NY 11217",40.679773,-73.9752,Purbird,9.0
199,"31 W 8th StNew York, NY 10011",40.732951,-73.997989,Sticky's Finger Joint,7.0
200,"167 E 33rd StNew York, NY 10016",40.745371,-73.979,Cask Bar & Kitchen,8.0
201,"166 DeKalb AveBrooklyn, NY 11217",40.689415999999994,-73.97322199999999,Walter's,8.0
202,"46-42 Vernon BlvdLong Island City, NY 11101",40.745779999999996,-73.953367,Alobar,8.0
203,"117 E 60th StNew York, NY 10022",40.763409,-73.96844899999999,The Bar Room,8.0
204,"265 Elizabeth StNew York, NY 10012",40.723926,-73.9938,The Musket Room,9.0
205,"32 E 21st StNew York, NY 10010",40.739321999999994,-73.988716,Harding's,8.0
206,"74 5th AveBrooklyn, NY 11217",40.68075,-73.9777,Wolf and Deer,8.0
207,"339 E 75th StNew York, NY 10021",40.770119,-73.954981,Seamstress,8.0
208,"162 Orchard StNew York, NY 10002",40.721025,-73.9884,Wassail,8.0
209,"21 9th AveNew York, NY 10014",40.740224,-74.006197,Catch Roof,5.0
210,"183 W 10th StNew York, NY 10014",40.734390999999995,-74.0027,Bar Sardine,8.0
211,"130 W 46th StNew York, NY 10036",40.757795,-73.9837,NIOS,7.0
212,"195 Franklin StBrooklyn, NY 11222",40.733494,-73.958484,Alameda,8.0
213,"88 Broad StNew York, NY 10304",40.704115,-74.0116,Broadstone Bar & Kitchen,8.0
214,"403 W 43rd StNew York, NY 10036",40.759196,-73.9923,Bea,8.0
215,"53 Little W 12th StNew York, NY 10014",40.740747999999996,-74.0083,The Wild Son,9.0
216,"163 Hope StBrooklyn, NY 11211",40.711665,-73.9516,The Regal,9.0
217,"998 Amsterdam AvenueNew York, NY 10025",40.802766,-73.964,The Hamilton,9.0
218,"773 Fulton StBrooklyn, NY 11217",40.686269,-73.9737,Prospect,8.0
219,"4017 BroadwayAstoria, NY 11103",40.758804,-73.918311,The Queens Kickshaw,8.0
220,"347 E 54th StNew York, NY 10022",40.756701,-73.9648,Sutton Inn,8.0
221,"66 Hicks StBrooklyn, NY 11201",40.700038,-73.9937,Jack the Horse Tavern,8.0
222,"118 E 40th StNew York, NY 10016",40.750189,-73.9775,Bedford,8.0
223,"284 3rd AveBrooklyn, NY 11215",40.677429,-73.98625600000001,The Pines,8.0
224,"156 9th AveNew York, NY 10011",40.744246999999994,-74.0026,Tipsy Parson,7.0
225,"39-06 64th StWoodside, NY 11377",40.746021,-73.900039,Casa Del Chef,9.0
226,"40 W 45th StNew York, NY 10036",40.756165,-73.9807,Restaurant Patrick,7.0
227,"80 N 6th StBrooklyn, NY 11249",40.718908,-73.9613,Rider,9.0
228,"35 E 18th StNew York, NY 10003",40.737778999999996,-73.9895,ABC Kitchen,8.0
229,"11 Madison AveNew York, NY 10010",40.741690000000006,-73.9872,Eleven Madison Park,9.0
230,"176 Perry StNew York, NY 10014",40.734459,-74.0097,Perry St,8.0
231,"103 W 77th StNew York, NY 10024",40.780944,-73.9765,Dovetail,8.0
232,"170 Waverly PlNew York, NY 10014",40.733602000000005,-74.0016,Joseph Leonard,8.0
233,"160 E 64th StNew York, NY 10065",40.765201,-73.9656,JoJo,7.0
234,"9 W 57th StNew York, NY 10019",40.763825,-73.9749,Brasserie 8 1/2,7.0
235,"1 E 15th StNew York, NY 10003",40.736626,-73.9926,Tocqueville Restaurant,8.0
236,"40 Rivington StNew York, NY 10002",40.721014000000004,-73.991,Gentleman Farmer,8.0
237,"905 Lorimer StBrooklyn, NY 11222",40.723561,-73.9518,Sauvage,6.0
238,"378 Myrtle AveBrooklyn, NY 11205",40.692981,-73.971,Gentleman Farmer Fort Greene,9.0
239,"2 E 61st StNew York, NY 10065",40.765492,-73.972014,Perrine,9.0
240,"1 E 15th StNew York, NY 10003",40.736626,-73.99268199999999,Tocqueville Restaurant,8.0
241,"103 W 77th StNew York, NY 10024",40.780944,-73.976599,Dovetail,8.0
242,"103 W 77th StNew York, NY 10024",40.780944,-73.976599,Dovetail,8.0
243,"181 W 10th StNew York, NY 10014",40.73448,-74.0026,BOBO,7.0
244,"200 W 70th StNew York, NY 10023",40.777421000000004,-73.9831,Cafe Luxembourg,8.0
245,"239 W 4th StNew York, NY 10014",40.73457,-74.00305999999999,Fedora,8.0
246,"190 Ave BNew York, NY 10009",40.727861,-73.9792,Kingsley,9.0
247,"110 St Marks PlNew York, NY 10009",40.726931,-73.9843,David's Cafe,8.0
248,"11 Madison AveNew York, NY 10010",40.741690000000006,-73.987207,Eleven Madison Park,9.0
249,"145 W BroadwayNew York, NY 10013",40.716952,-74.0077,The Odeon,8.0
250,"151 Atlantic AveBrooklyn, NY 11201",40.690649,-73.995,Beasts & Bottles,8.0
251,"5 Ave ANew York, NY 10009",40.722496,-73.986439,Boulton & Watt,8.0
252,"800 9th AveNew York, NY 10019",40.765437,-73.987278,Alfie's,8.0
253,"225 Hutton StJersey City, NJ 07307",40.746707,-74.055574,The Hutton Bar & Grill,10.0
254,"132 W 31st StNew York, NY 10001",40.748296999999994,-73.9906,Friedman's,8.0
255,"336 Graham AveBrooklyn, NY 11211",40.714268,-73.944,AWOL Eatery,9.0
256,"128 1st AveNew York, NY 10009",40.727264,-73.9851,Noreetuh,8.0
257,"551 5th AveNew York, NY 10176",40.755388,-73.9792,Tommy Bahama Restaurant | Bar | Store - New York,8.0
258,"102-15 Metropoltan AveForest Hills, NY 11375",40.710534,-73.85,Tazzina,9.0
259,"403 E 12th StNew York, NY 10009",40.730026,-73.9831,Hearth,8.0
260,"240 Hackensack StEast Rutherford, NJ 07073",40.75799,-73.98431,Park & Orchard Restaurant,7.0
261,"349 W 46th StNew York, NY 10036",40.760697,-73.9896,Swing 46,7.0
262,"66 Park Ave E 38th StNew York, NY 10016",40.748568,-73.977075,The Kitano New York,6.0
263,"308 BoweryNew York, NY 10012",40.724917,-73.9925,Duane Park,8.0
264,"308 BoweryNew York, NY 10012",40.724917,-73.992542,Duane Park,8.0
265,"308 BoweryNew York, NY 10012",40.724917,-73.992542,Duane Park,8.0
266,"16 E 23rd StNew York, NY 10010",40.740702,-73.988313,Dig Inn,8.0
267,"127 E 54th StNew York, NY 10022",40.759454999999996,-73.971,Mike's Bistro,8.0
268,"53 BroadwayBrooklyn, NY 11249",40.710679,-73.9663,Streets,8.0
269,"510 Hudson StNew York, NY 10014",40.733432,-74.006,Employees Only,8.0
270,"132 W 44th StNew York, NY 10036",40.75651,-73.98459,The Lambs Club,6.0
271,"2-01 50th AveLong Island City, NY 11101",40.74423,-73.958475,Riverview Restaurant & Lounge,6.0
272,"80 Columbus Cir at 60th StNew York, NY 10023",40.769078,-73.9829,Mandarin Oriental Lobby Lounge,8.0
