,Unnamed: 0,Address,Lat,Lng,Name,Avgscore
217,217,"Bl Malcom X Harlem, New York City, NY",40.81005,-73.94373,Mt Olivet Baptist Church,8.0
218,218,"East 79th Street, Pat Hoffman Friedman Playground, New York City, NY",40.77334000000001,-73.955055,Group of Bears Statue,8.0
219,219,"184 E 76th St, New York City, NY 10021-2819",40.772503,-73.95954,St. Jean Baptiste Roman Catholic Church,10.0
220,220,"4140 Broadway, New York City, NY 10033-3701",40.84636,-73.93821,United Palace,9.0
221,221,"132 Odell Clark Pl, New York City, NY 10030-2303 (Formerly 132 West 138th Street)",40.816914,-73.94152,Abyssinian Baptist Church,5.0
222,222,"New York City, NY",40.728127,-74.007225,Hudson Street,7.0
223,223,"1711 Third Avenue, New York City, NY 10029",40.785484,-73.94858599999998,The New York Mosque,10.0
224,224,"Murly Square, Greenwich Avenue W 11th, New York City, NY",40.73654000000001,-74.0011,Tiles For America,10.0
225,225,"131 East Tenth St, New York City, NY",40.73034000000001,-73.98711,St. Mark's-in-the-Bowery Church,8.0
226,226,"Governors Island, New York Harbor, New York City, NY",40.70108,-74.01163000000003,Castle Williams,8.0
227,227,"15 East 97th St, New York City, NY 10219",40.788277,-73.954094,St. Nicholas Russian Orthodox Cathedral,9.0
228,228,"547 W 27th St, 4th Floor, New York City, NY 10001-5511",40.75122,-74.004395,Aperture Foundation Gallery,9.0
229,229,"Central Park, 59thSt. betw. 7th Ave & Columbus Circle, New York City, NY",40.768784,-73.97381999999998,Gotham Carriages,8.0
230,230,"250 E Houston St, Red Square Rooftop, New York City, NY 10002-1034",40.722076,-73.98484,Statue of Lenin,8.0
231,231,"75 1/2 Bedford St, New York City, NY 10014-4011",40.73138400000001,-74.00499,75 1/2 Bedford Street,8.0
232,232,"280 Broome St, New York City, NY 10002-3702",40.71858,-73.99118,Kehila Kedosha Janina,10.0
233,233,"2 E 90th St, New York City, NY 10128-0603",40.78385,-73.95841999999998,The Episcopal Church of The Heavenly Rest,8.0
234,234,"551 Fifth Ave., New York City, NY",40.75559000000001,-73.97913,Fred F. French Building,8.0
235,235,"51 W 52nd St, New York City, NY 10019-6119",40.76071500000001,-73.97813000000002,CBS Building,7.0
236,236,"Riverside Drive and 93rd Street, New York City, NY",40.79403,-73.9763,Joan of Arc Memorial,9.0
237,237,"520 Park Ave, New York City, NY 10065-8001",40.7638,-73.96974,Christ Church,8.0
238,238,"West 72nd street, New York City, NY",40.77873,-73.98192,Wagner Cove,9.0
239,239,"132 West 116th Street, New York City, NY 10026",40.80228,-73.95163000000002,Canaan Baptist Church of Christ,9.0
240,240,"701 Fort Washington Ave, New York City, NY",40.85817,-73.93548,Shrine of Frances Xavier Cabrini,9.0
241,241,"6 Pennyfield Avenue, New York City, NY 10465",40.805225,-73.79151999999998,Maritime Industry Museum at Fort Schuyler,10.0
242,242,"No. 7 Washington Square, New York City, NY",40.73117,-73.99618000000002,No. 7 Washington Square,8.0
243,243,"West 59 St., Central Park West, New York City, NY",40.77229000000001,-73.97887,Monumento a Cristobal Colon,8.0
244,244,"869 Lexington Avenue, New York City, NY 10065",40.76612,-73.96505,Church of Saint Vincent Ferrer,10.0
245,245,"225 Malcolm X Blvd, New York City, NY 10027-6341",40.805515,-73.9474,Ebenezer Gospel Tabernacle,9.0
246,246,"11 East 52nd Street, New York City, NY 10022",40.75957,-73.97525999999998,Austrian Cultural Forum,9.0
247,247,"16 W 26th St, New York City, NY 10010-2010",40.74401,-73.98986,Saint Sava Serbian Orthodox Cathedral,8.0
248,248,"59 Park Avenue at 38th Street, New York City, NY 10016",40.749573,-73.97941999999998,Church of Our Savior,7.0
249,249,"211 Central Park W, New York City, NY 10024-6020",40.782578,-73.971886,Beresford,8.0
250,250,"25 Carmine St, New York City, NY 10014-4423",40.730316,-74.002975,Our Lady of Pompeii,8.0
251,251,"630 2nd Ave, New York City, NY 10016-4806",40.744984,-73.97516,St. Vartan Armenian Cathedral,9.0
252,252,"150 E 36th St # 158, New York City, NY 10016-3504",40.747128,-73.97804000000002,Sniffen Court Historic District,9.0
253,253,"W. 138th and W. 139th Sts. between Adam Clayton Powell Jr. and Frederick Douglass Blvds., Harlem, New York City, NY",40.8181,-73.9436,Strivers' Row,8.0
254,254,"601 Lexington Ave, New York City, NY 10022-6004",40.758484,-73.97025,Citicorp Center,6.0
255,255,"171 E 121st St, New York City, NY 10035-3524",40.80154,-73.93839,Elmendorf Reformed Church,10.0
256,256,"Between Hudson St. and 7th Ave. S, New York City, NY",40.733227,-74.00303000000002,St. Luke's Place,9.0
257,257,"79th Street, East Side of the Turtle Pond, New York City, NY",40.77885,-73.96835,King Jagiello Monument,6.0
