,Cleanliness,Comfort,Facilities,Free Wifi,Location,Staff,Value for money,address,avgscore,name,price,total_review,lat,lng
49,8.1,7.7,7.5,8.3,8.0,8.4,7.7,"29-11 39th Avenue, Queens, NY 11101, United States of America",7.9,Hotel Vetiver / Manhattan Skyline,4,889,40.7533886,-73.9338863
50,6.8,6.7,6.8,6.6,7.1,7.2,6.2,"36-31 Prince Street, Queens, NY 11354 , United States of America",6.8,Red Roof Inn Flushing New York - LaGuardia Airport,2,101,40.7614455,-73.8326479
51,8.1,7.9,7.7,8.9,6.3,7.9,6.9,"4317 Rockaway Beach Blvd., Queens, NY 11692, United States of America",7.5,La Quinta Inn & Suites Far Rockaway,4,101,40.5937391,-73.77472139999999
52,8.7,8.4,8.3,8.8,8.0,8.8,7.6,"45-20 Astoria Boulevard, Queens, NY 11103, United States of America",8.3,Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,4,177,40.7680519,-73.9060801
53,7.4,7.6,7.1,7.9,7.3,8.0,7.1,"18-30 Whitestone Expressway, Queens, NY 11357, United States of America",7.4,Extended Stay America - New York City - LaGuardia Airport,3,77,40.7828551,-73.8258939
54,8.7,8.5,8.3,8.5,8.1,8.7,8.0,"29-27 40th Road, Queens, NY 11101, United States of America",8.4,Fairfield Inn & Suites by Marriott New York Queens/Queensboro Bridge,4,728,40.75139739999999,-73.9352006
55,6.9,6.8,6.5,7.6,6.6,6.9,6.3,"137-08 Redding Street, Queens, NY 11417, United States of America",6.6,Days Inn & Suites - Ozone Park,1,282,40.6722366,-73.8440707
56,7.8,7.7,7.5,6.8,7.5,7.7,6.8,"135-20 39th Avenue, Queens, NY 11354, United States of America",7.5,Sheraton Laguardia East Hotel,5,97,40.7596715,-73.83160529999999
57,6.9,6.7,6.5,7.9,6.5,7.3,6.2,"111-26 Van Wyck Expressway, Queens, NY 11420, United States of America",6.7,La Quinta Inn & Suites JFK Airport,4,666,40.6836001,-73.8068397
58,8.6,8.2,8.0,8.3,6.8,8.4,7.8,"52-34 Van Dam Street, Queens, NY 11101, United States of America",8.0,Fairfield Inn & Suites by Marriott New York Long Island City/Manhattan View,3,"1,004",40.7363106,-73.93673690000001
59,7.9,7.5,7.2,7.7,7.6,8.0,7.1,"144-26 153rd Court, Jamaica, Queens, NY 11434, United States of America",7.6,Days Inn Jamaica - JFK Airport,1,"1,134",40.665628,-73.7842919
60,7.8,7.5,7.3,7.5,7.3,7.8,7.3,"87-07 Van Wyck Expressway, Queens, NY 11435, United States of America",7.5,Best Western Jamaica Inn,2,385,40.7059063,-73.8172961
61,6.5,6.6,6.2,7.0,6.7,6.8,6.4,"139-01 Jamaica Avenue, Queens, NY 11435, United States of America",6.5,Knights Inn - JFK Airport,1,728,40.7026093,-73.8125118
62,7.0,7.1,6.5,7.5,6.6,7.5,6.6,"137-30 Redding Street, Queens, NY 11417, United States of America",6.9,Comfort Inn & Suites JFK Airport,2,675,40.6717202,-73.84428869999999
63,8.0,7.8,7.4,8.1,7.8,8.0,7.1,"23-45 83rd Street, Queens, NY 11370, United States of America",7.7,Comfort Inn At LaGuardia Airport,2,230,40.7658467,-73.886262
64,8.3,8.5,7.9,8.8,6.9,8.3,7.5,"60-30 Maurice Avenue, Queens, NY 11355, United States of America",7.9,Comfort Inn & Suites LaGuardia Airport,4,157,40.7293191,-73.9045841
65,4.1,3.7,3.8,5.9,4.8,6.6,4.3,"33-53 Farrington Street, Queens, NY 11355, United States of America",4.4,Explore Hotel and Hostel,1,36,40.765334,-73.8317859
66,6.1,6.3,5.9,6.1,6.1,6.5,5.3,"220-16 Jamaica Avenue, Queens, NY 11428, United States of America",6.0,Howard Johnson Inn Queens Village,2,106,40.71878299999999,-73.733576
67,9.1,9.0,8.6,8.5,8.2,8.8,8.1,"112-15 Northern Boulevard , Queens, NY 11368, United States of America",8.6,SpringHill Suites by Marriott New York LaGuardia Airport,5,98,40.7582707,-73.8573766
68,7.8,7.9,7.8,6.7,7.9,8.2,6.7,"37-10 114th Street, Queens, NY 11368, United States of America",7.7,Holiday Inn LaGuardia Airport at Citifield / Flushing,4,113,40.75452689999999,-73.85417749999999
69,7.3,6.8,6.4,7.2,5.4,6.6,6.1,"9565 Tuckerton St, Queens, 11433-1043, United States of America",6.4,Days Inn & Suites Jamaica JFK Airport,2,154,40.6988817,-73.8006152
70,6.7,6.6,6.1,7.6,7.0,7.1,6.5,"31-62 14th Street, Queens, NY 11106, United States of America",6.7,Super 8 Long Island City,3,86,40.76661319999999,-73.9336254
71,7.9,7.6,7.0,7.8,7.0,7.4,6.3,"154-71 Brookville Boulevard, Queens, NY 11422, United States of America",7.2,Holiday Inn New York-JFK Airport Area,5,211,40.63963649999999,-73.7433968
72,7.1,6.9,6.5,8.0,6.3,6.9,6.2,"112-23 Roosevelt Avenue, Queens, NY 11368, United States of America",6.7,Corona Hotel New York - LaGuardia Airport,2,444,40.7523905,-73.85377299999999
73,5.7,5.7,5.5,6.3,6.6,5.8,5.9,"36-38 Main Street, Queens, NY 11354, United States of America",5.9,Flushing Hotel,1,624,40.7624771,-73.83169
74,7.5,7.5,7.4,7.6,7.2,8.1,7.1,"133-43 37th Avenue, Queens, NY 11354, United States of America",7.5,Quality Inn Flushing,2,144,40.7608051,-73.8336672
75,8.3,7.9,7.7,7.9,7.5,8.5,7.4,"220-33 Northern Boulevard, Queens, NY 11361, United States of America",7.9,Best Western Queens Gold Coast,3,162,40.7616248,-73.7607082
76,6.2,6.4,6.0,7.1,6.9,6.3,5.8,"215-34 Northern Boulevard, Queens, NY 11361, United States of America",6.3,Anchor Inn,4,180,40.760452,-73.76605700000002
77,5.7,5.6,5.4,6.6,6.4,6.4,5.6,"154 10 South Conduit Avenue, Queens, NY 11434, United States of America",5.9,JFK Inn,1,"1,381",40.6661927,-73.7821608
78,8.7,8.5,8.2,8.6,7.3,8.6,7.7,"28-66 College Point Boulevard, Queens, NY 11354, United States of America",8.2,Fairfield Inn by Marriott New York LaGuardia Airport/Flushing,4,212,40.7715056,-73.8445145
79,9.1,8.1,7.9,8.1,7.3,7.9,7.2,"3106 Linden Place, Queens, 11354, United States of America",7.9,Grandview Hotel New York,1,116,40.7691408,-73.83250799999999
